clip_id,annotation_id,subject,action,background_object,note,submitted_at,user_id,task_id
clip_1,annotation_1,Mukhya gayak ko dubaipatti pachadi saha-kalaka haru chan,Gauda gaudai keta haru nachna thaleka chhan,Charai tira pahelo batti boleko,,2026-06-02 07:48:30.042841,5,e4c30d8683214bc585b2f3f47dc1da67
clip_2,annotation_2,Pahadh ori pari gai bheda haru chhan,Khairo rang ko padhdi posak lagako kta ley bheda haru lai dhapaudai chha ani eauta sundar keti ley tyo drishya dekhera ramaudai chhin,"Nelo aaksh charai tira hariyali, thula thula rukh, ra sundar mausam",,2026-05-29 19:05:26.427999,5,0dbdb3d130b0447290c7b9bbf738a724
clip_3,annotation_3,Bichma mukhya kalakar (keta) ra kalakar (keti) ekkai satha baseka chan,Mukhya jodi bichma basera ek-arkalai herdai ramilo abhinay gardai chhan,Dhunga le baneko thulo siryani jasto thau ma parampargat bhada dekhincha,,2026-05-29 17:31:57.437105,5,ddd51d69854542b1ad0ec887a883fb56
clip_4,annotation_4,गुलाबी साडीमा सजिएकी एक सुन्दरी महिला र उनको सामुन्ने सेतो पोसाकका साथै टाउकोमा रातो फेटा बाँधेका एक पुरुष।,एकअर्कालाई हेर्दै लजाएर खुला हृदयले मुस्कुराइरहेका छन्।,"रात्रिकालीन धमिलो पृष्ठभूमिमा, परम्परागत थारु पोसाक लगाएका र हातमा बलिरहेको दियो बोकेका नर्तकीहरू उनीहरूलाई केन्द्रविन्दुमा राखी वरिपरि घुम्दै नृत्य गरिरहेका छन्।",,2026-06-04 18:28:07.762581,6,ec0e2ac710ae4dfba696dcbc366e0ddc
clip_5,annotation_5,Keti le akashi nilo ra saeto combination ko modern lehenga-style dress lagayeki chin. Unko waripari ramra seto ra rangeen phool ko bot haru chhan ra pootali pani jhutiyeko dekhinchha,"Keti chaur ko phool ko cheuma basera, euta seto phool mathi baseko putali lai xopna khojdai ani geet ko taal ma lip-sync ra aashamayi expression dirahieki chin.","Haryo pahaadi bhu-bhaag, mathi khulla aakash, ra side ma thorai dhamilo rupa ma pahaadi gaun ra danda haru dekhinchhan.",,2026-06-12 12:43:39.342388,5,888ac2889a0e4fe8bd36dc2dcfe0105b
clip_6,annotation_6,Kta ra kt,Nachiraxan haat ma rumal bokera,Light ani background dancer nachiraxan,,2026-06-03 17:51:24.253684,7,1e803609bb014c3d8e5707d702b8f22a
clip_7,annotation_7,Kt,Kt boliraxa,Pahad,,2026-06-04 12:04:33.411462,7,2264735f487a4a4a99029569fc9cb569
clip_8,annotation_8,Kta ra kt,Dherai manche haru nachirako chaan,Yellow wall cha ani nachiraxan,,2026-06-03 17:49:42.077454,7,ac04601d750c40e68ee8904b6a34db3c
clip_9,annotation_9,"baigani butteydhar kurtha ra kammar patuka badheka ek mukhya yuwa patra ra unko daya tarfa choli, halka pahelo rangko fariya ra ghati ma potey lagayeki ek mukhya yuwati patra",ti yuwa ra kammar markaudai gareki yuwati chanchal rup ma nritya gariraheka,hariyali dekhiney gramid bheg ko pristabhumi & sahayek rup ma rato  choli ra gadha pahelo rang ko fariya sangai ghati ma pahelo potey lagayeka nartakiharu,,2026-06-12 09:52:57.569079,6,12f4196a0dc247ccbfbca5046fcf12c8
clip_10,annotation_10,keti haru ghas mathi ubiyeko chhan,keti haru nachi racheko chhan,hari ghas ko cheuma sano khola chha vane paxadi jungle chha,,2026-05-29 08:42:57.874164,5,8bf35e5bbd1442af834ef86d227f3a19
clip_11,annotation_11,ek jana yuwak,aakha chimlera bhittama adiyeko,"bhitta, bahiri batabaran",,2026-06-05 10:00:37.980933,4,cc11193ca09c45ec98dfc964256ef43e
clip_12,annotation_12,Bichma mukhya jodi ekkai satha baseka chan.,Mukhya jodi ek-arkako cheuma basera ek-arkalai herdai premilo (romantic) gaff gairaheko jasto abhinay gardaichan,"Cheu-cheu ma itta le baneka thau haru chan, jahan ramilo ra rangichangi takiya haru rahiyeka chan.",,2026-06-02 07:57:51.072556,5,903c3d5484dd4561a28f418de2161d13
clip_13,annotation_13,"Sundar newari kapada Haku Patasi(kalo rang ko saree jasto),Misā Lān (मिसा लाँ) / Cholo ra sir ma eauta rato phool lagaki eauti keti",Chaur mathi basera camera tira farkera dherai expression didai ani nachdai gareko,"Suru ra antim ko shot me backgorund eakdam dhamilo dekhinchha vane bich ko shot ma purai spahaadi bhu-bhaag, jahan khulla haryo chaur, ra pachadi patti hariyo dada dekhna sakinchha.",,2026-06-12 07:52:32.992759,5,3716ca99b4834d8e9e3280e48f3f2851
clip_14,annotation_14,Camera,Kt le camera samateko,Pani ghass rukh,,2026-05-30 05:11:18.296445,7,4e25feb682b242848d0845ed827426e1
clip_15,annotation_15,Table mathi baseko eauta kukur,"Pasal aagadi kalo chiya khai raheko eauta keta, dhayan diyera heardai",Sahar ko bato jaha dherai pasal ani hotel,,2026-06-04 18:08:23.254829,5,ec479b1f5b8e4d6cb97d251daba66813
clip_16,annotation_16,Kta ra kt,Kta ra kt nachiraxan,Doko cha,,2026-06-04 12:43:07.690440,7,7bf62cc10d824e3c91e15e058bfed528
clip_17,annotation_17,euta mahila ra euta nilo jeans ra seto shirt lagayeko purush,"Mahila agadi hidai wa nachdai gareki, purushle haat uthaudai unlai isara gareko","Kathko khambaharu bhayeko dhakiyeko galchhi, itako  vitta  ra dhalako bhui,",,2026-06-12 10:30:11.018598,4,e11702c9ef18438aa77a05af001c5a0b
clip_18,annotation_18,"pahelo rang ko shirt, kalo pant ra khairo topi lagayeka ek yuwa purus bhui ma basiraheko ra cheu ma rato ra kalo rang ko adhunik posak lagayeki ek yuwa mahila basiraheki chan",ti mahila ley hasdai afno haath hawa ma uthayera haubhau gariraheki chan vhaney bhui ma baseka purus ley uni tira herdai kura garna khojiraheko jasto dekhincha,thula hariya kamalka paat haru tairiraheko euta syano pokhari ko kinaar ra rato chano vayeko pyagoda banot ko mandir ra adhunik bhawan,,2026-06-12 10:06:23.433035,6,f0d37437b5ed4354afa8864963865fba
clip_19,annotation_19,Keti ley akashi nilo modern dress ma haryo watering can samatera ubhiyeki chin. Charai tira rangi changi phool haru chhan.,Keti phool haru lai pani didai gareko bela keta herera ubiyeko chha,Pachhadi ko pahadh ma halka hariyali ani manxey haru ko basti dekhinchha.,,2026-06-12 12:55:55.191082,5,3a314e7eb7de4833be14ab6e39560d23
