id,text,hate_speech,casteism,religous_incitement,political_defamation,cyberbullying,severity
1,ta aaija ta pagal... malai bahira janu parxa,1,0,0,0,0,2
2,सहि गर्नु भयो समाज भाडुवा हरु देश द्रोही हुन्छन कडा भन्दा कडा कार्बाही होस।,1,0,0,1,0,4
3,"तोडफोड गर्दैन ,जातीय विभेद र छुवाछूत को पिडा पोखेको हो ।",0,0,0,0,0,1
4,Ta mula jungle mei basey ni bas na ani,1,0,0,0,0,3
5,Ta muji le j vanyo tei mannu parne ta sarkar le?,0,0,0,1,0,4
6,"Ani ta muji lai taha chaina yo samsad bhawan yo sarkar le
 hoina paila kai sarkar le banako ho vanera?",0,0,0,1,0,4
7,"जे गरेनी नहुने,जसो गरेनि नहुने,उ गरेर नि नहुने, हुने गर्दा नि नहुने, मर्दा पनि नहुने, 
बाच्दा पनि नहुने, रुदानी नहुने हास्दा नि नहुने बैगुनी पार्टी भनेको नेपालमा बा मा ले र कांग्रेस होला",0,0,0,1,0,3
8,"Aba sthaniye nikayeka raithani karmachari ra prabidhik lai pani yestai 
kisimle bela belama saruwa garema bhrastachar rokinthyo ki balen sarkar",0,0,0,1,0,2
9,bharastachari jaha gaye pani bharastachar garxa nai,0,0,0,0,0,2
10,Uchha samman ka sath machikney vanna chanxu,1,0,0,0,0,5
11,Now I hope Justice for My Nation,0,0,0,0,0,1
12,सहिद ले न्यय पाउनु पर्छ ।,0,0,0,0,0,1
13,"सिंहदरबार जलाइने केमिकलको बन्दोवस्त, प्रयोग कस्ले र कहाँबाट 'जानकार' ईञ्जिनियरले
 गराए ? यी सबै चासो राष्ट्रिय मानवाधिकारको प्रतिवेदनमा आवोस् !",0,0,0,1,0,2
14,दोषी जोसुकै भएपनी ढिलोचाडो जेल जाने नै छन सत्ता सधै कसैको हातमा रहि रहने छैन।,0,0,0,0,0,2
15,"Real id बाट होकि फेक आईडि बाट हो भनेर चेक जाज गर्नु छैन ! अन्धा धुन्दामा शेयर गरेको छ , 
फटह गुईठे। हैन १ मिनेट नपुग्दै 19k लाईक बालेन shah को त आउदैन हावा।",0,0,0,0,1,3
16,"वधाई तथा शुभकामना भुमि पुत्रहरु छातीभरि देशको माया वोकेर देशको उज्ज्वल भविश्यको 
कामना",0,0,0,0,0,1
17,"तिमिले जनताको कुरा सुनेको त अहिले सम्म सुनेको छैन । न अहिले न पहिले तिमी 
आफुलाइजे थिक लाग्छ तेहि गर्ने मान्छे हौ । नचिनेको होर । बात कर्ते हो",0,0,0,0,1,2
18,Eh guithe last ma harni nai ho kina dherai natak garnu paryo,0,0,0,1,0,2
19,माननीयज्यू आज सदन नै छैन भोलि 3: 30 pm मा हो .,0,0,0,0,0,1
20,"Afno kam gar muji, copy garera exam pass hune person pani pass
 hunxa fail hudaina",0,0,0,0,1,3
21,पागल,1,0,0,0,0,4
22,पागल हर्के यो भबन के ऐलेको सरकारले बनाउन सुरु गरे होर,0,0,0,1,0,4
23,हजुरको सादा जीवन उच्च विचार तर अधिकांस नेताको उच्च जीवन सादा विचार सायद तैभएर होला,0,0,0,0,0,1
