clip_id,annotation_id,subject_english,action_english,background_object_english,note_english,submitted_at,user_id,task_id
clip_1,annotation_1,The supporting artists are behind the lead singer,"The boys have started dancing, hopping around",Yellow lights are glowing all around,,2026-06-02 07:48:30.042841,5,e4c30d8683214bc585b2f3f47dc1da67
clip_2,annotation_2,There are cows and sheep around the mountain,"A boy in a brown traditional outfit is herding the sheep, and a beautiful girl is enjoying the view","Blue sky, greenery all around, big trees, and beautiful weather",,2026-05-29 19:05:26.427999,5,0dbdb3d130b0447290c7b9bbf738a724
clip_3,annotation_3,The main artists (boy and girl) are sitting together in the middle,"The main couple is sitting in the middle, looking at each other and acting joyfully",Traditional utensils are visible on a large stone-built terrace-like platform,,2026-05-29 17:31:57.437105,5,ddd51d69854542b1ad0ec887a883fb56
clip_4,annotation_4,"A beautiful woman dressed in a pink saree, and in front of her a man wearing white attire with a red turban tied on his head","They are looking at each other, blushing, and smiling openly and warmly","In a dim nighttime backdrop, dancers in traditional Tharu attire holding burning oil lamps in their hands are circling around them, keeping them at the center",,2026-06-04 18:28:07.762581,6,ec0e2ac710ae4dfba696dcbc366e0ddc
clip_5,annotation_5,"The girl is wearing a modern lehenga-style dress in a sky blue and white combination. Around her are beautiful white and colorful flower plants, and a butterfly can also be seen","Sitting by a flower in the meadow, the girl tries to catch a butterfly perched on a white flower while lip-syncing to the song with dreamy expressions","Green hilly terrain, an open sky above, and faintly visible mountain villages and ridges on the side",,2026-06-12 12:43:39.342388,5,888ac2889a0e4fe8bd36dc2dcfe0105b
clip_6,annotation_6,A boy and a girl,Dancing while holding a handkerchief in hand,Lights and background dancers dancing,,2026-06-03 17:51:24.253684,7,1e803609bb014c3d8e5707d702b8f22a
clip_7,annotation_7,A girl,The girl is speaking,Mountain,,2026-06-04 12:04:33.411462,7,2264735f487a4a4a99029569fc9cb569
clip_8,annotation_8,A boy and a girl,Many people are dancing,There is a yellow wall and they are dancing,,2026-06-03 17:49:42.077454,7,ac04601d750c40e68ee8904b6a34db3c
clip_9,annotation_9,"A main young male character in a purple printed kurta with a waist belt, and on his right a main young female character wearing a choli, a light yellow fariya, and beads around her neck",The young man swinging his hips while the young woman dances playfully and energetically,"A green rural backdrop, with supporting dancers in red choli and deep yellow fariya wearing yellow beads around their necks",,2026-06-12 09:52:57.569079,6,12f4196a0dc247ccbfbca5046fcf12c8
clip_10,annotation_10,Girls are standing on the grass,The girls are dancing,There is a small stream beside the green grass and a jungle behind,,2026-05-29 08:42:57.874164,5,8bf35e5bbd1442af834ef86d227f3a19
clip_11,annotation_11,A young man,Leaning against the wall with his eyes closed,"Wall, outdoor environment",,2026-06-05 10:00:37.980933,4,cc11193ca09c45ec98dfc964256ef43e
clip_12,annotation_12,The main couple is sitting together in the middle,"The main couple is sitting close to each other, looking at each other and acting as if having a sweet, romantic conversation",There are brick-built areas all around where comfortable and colorful pillows are placed,,2026-06-02 07:57:51.072556,5,903c3d5484dd4561a28f418de2161d13
clip_13,annotation_13,"A girl wearing beautiful Newari attire: Haku Patasi (a black saree-like garment), Misa Laan / Cholo, with a red flower placed in her hair","Sitting on the open field and facing the camera, she is giving lots of expressions and dancing","In the first and last shots the background is very dim, while in the middle shots the full mountain terrain is visible - an open green field with a green hillside behind",,2026-06-12 07:52:32.992759,5,3716ca99b4834d8e9e3280e48f3f2851
clip_14,annotation_14,Camera,The girl is holding a camera,Grass trees and plants,,2026-05-30 05:11:18.296445,7,4e25feb682b242848d0845ed827426e1
clip_15,annotation_15,A dog sitting on a table,A boy drinking black tea in front of the shop while listening attentively,City street with many shops and hotels,,2026-06-04 18:08:23.254829,5,ec479b1f5b8e4d6cb97d251daba66813
clip_16,annotation_16,A boy and girl,A boy and girl dancing,There is a doko,,2026-06-04 12:43:07.690440,7,7bf62cc10d824e3c91e15e058bfed528
clip_17,annotation_17,One woman and one man wearing blue jeans and a white shirt,The woman is walking or dancing in front and the man is raising his hand gesturing to her,A closed gallery with wooden pillars and a floor made of bricks and concrete,,2026-06-12 10:30:11.018598,4,e11702c9ef18438aa77a05af001c5a0b
clip_18,annotation_18,One young man wearing a yellow shirt black pants and a khaki cap and a young woman wearing a modern dress of red and black colors are sitting on the ground,The woman is laughing and waving her hands in the air while the man sitting on the ground looks like he is trying to talk to her,The bank of a small pond with large green lotus leaves floating and a red roofed pagoda style temple and modern buildings,,2026-06-12 10:06:23.433035,6,f0d37437b5ed4354afa8864963865fba
clip_19,annotation_19,The girl is standing with a watering can in her hand wearing a sky blue modern dress and there are colorful flowers all around,The girl is watering the flowers while the boy stands watching,There are some greenery on the mountains behind and a settlement of people,,2026-06-12 12:55:55.191082,5,3a314e7eb7de4833be14ab6e39560d23
clip_20,annotation_20,A boy and girl,A boy and girl walking together,There is a jungle,,2026-06-03 18:04:30.836809,7,739c661b0a7349cf982b73aa76f9c6f0
clip_21,annotation_21,A boy and girl,The boy is holding the girl's hand,Mountain,,2026-06-04 12:08:40.694713,7,3b11768e9bd1499690d7ad5ff5bde397
clip_22,annotation_22,A person wearing patched clothes,picking up trash,A stony road a field of grass and shrubs and garbage,,2026-06-05 09:56:47.916995,4,a96a74e5aa7c469da2d579768fe9755e
clip_23,annotation_23,A girl standing by the pond,The girl took a photo with the camera,A pond near green grass,,2026-05-29 08:51:12.240291,5,115da308778342078b92e33cd83791cf
clip_24,annotation_24,People of the village wearing thick clothes,The people are walking forward greeting the elders of the village,In front of a small old house there is a steel drum and dry firewood kept for lighting a fire,,2026-06-04 17:53:11.342455,5,4b50d33cde8a4c12bd7337b56633d0c2
clip_25,annotation_25,A boy,The boy is dancing and looking at the girl,Dancers,,2026-06-03 17:58:15.739371,7,218627668f4e4cebb69dc71fcb2dca44
