id,text
1,तँ आइज त पागल... मलाई बाहिर जानुपर्छ।
2,सहि गर्नुभयो। समाज भाडुवाहरु देशद्रोही हुन्छन्। कडा भन्दा कडा कार्बाही होस्।
3,"तोडफोड गर्दैन, जातीय विभेद र छुवाछूतको पीडा पोखेको हो।"
4,तँ मुला जङ्गल मै बसे नि बस न अनि
5,तँ मुजीले जे भन्यो त्यही मान्नु पर्ने त सरकारले?
6,"अनि तँ मुजीलाई थाहा छैन, यो संसद भवन यो सरकारले होइन पहिलाकै सरकारले बनाएको हो भनेर?"
7,"जे गरे नि नहुने, जसो गरे नि नहुने, उ गरेर नि नहुने, हुने गर्दा नि नहुने, मर्दा पनि नहुने, बाँच्दा पनि नहुने, रुँदा नि नहुने हाँस्दा नि नहुने बैगुनी पार्टी भनेको नेपालमा बामाले र कांग्रेस होला"
8,अब स्थानीय निकायका रैथाने कर्मचारी र प्राविधिकलाई पनि यस्तै किसिमले बेलाबेलामा सरुवा गरेमा भ्रष्टाचार रोकिन्थ्यो कि बालेन सरकार
9,भ्रष्टाचारी जहाँ गए पनि भ्रष्टाचार गर्छ नै।
10,उच्च सम्मानका साथ माचिक्ने भन्न चाहन्छु।
11,अब मेरो राष्ट्रको लागि न्यायको आशा गर्छु।
12,सहिदले न्याय पाउनुपर्छ।
13,"सिंहदरबार जलाइने केमिकलको बन्दोबस्त, प्रयोग कसले र कहाँबाट 'जानकार' इन्जिनियरले गराए? यी सबै चासो राष्ट्रिय मानवाधिकारको प्रतिवेदनमा आओस्!"
14,दोषी जोसुकै भएपनि ढिलोचाँडो जेल जाने नै छन्। सत्ता सधैँ कसैको हातमा रहिरहने छैन।
15,"साँचो आइडीबाट होकि नक्कली आइडीबाट हो भनेर जाँचबुझ गर्नु छैन! अन्धाधुन्दामा साझा गरेको छ, फटाहा गुइठे। हैन १ मिनेट नपुग्दै १९ हजार लाइक बालेन शाहको त आउँदैन हावा।"
16,बधाई तथा शुभकामना। भूमिपुत्रहरु छातीभरि देशको माया बोकेर देशको उज्ज्वल भविष्यको कामना।
17,तिमीले जनताको कुरा सुनेको त अहिलेसम्म सुनेको छैन। न अहिले न पहिले तिमी आफूलाई जे ठिक लाग्छ त्यही गर्ने मान्छे हौ। नचिनेको होर। बात कर्ते हो।
18,ए गुइठे अन्त्यमा हार्ने नै हो किन धेरै नाटक गर्नु पर्यो।
19,माननीयज्यू आज सदन नै छैन भोलि ३:३० बेलुकामा हो।
20,"आफ्नो काम गर मुजी, नक्कल गरेर परीक्षा पास हुने व्यक्ति पनि पास हुन्छ फेल हुँदैन।"
21,पागल
22,पागल हर्के यो भवन के अहिलेको सरकारले बनाउन सुरु गरे होर।
23,हजुरको सादा जीवन उच्च विचार तर अधिकांश नेताको उच्च जीवन सादा विचार सायद त्यहीभएर होला।
24,"धेरै माया छ सुदन गुरुङजी र सधैँ रहने पनि छ। हजुरको निर्णय हामीलाई स्वीकार्य छ। देशको नियमभन्दा माथि कोही पनि छैन। यो सब कुराहरूलाई स्वीकार गर्न पनि एउटा सुन्दर मन चाहिन्छ। धेरै गर्व छ, म पर्खिरहेछु, हजुरलाई सम्मान, सम्मानित व्यक्तित्व।"
25,"कपटपूर्ण अन्तर्वार्ताको उत्तर! आज रास्वपाको नेता, सांसद नमुछिएको भए यतिबेला देशमा आगो बल्थ्यो! हिजो ओली र लेखक चाहिँ कुन निकायले अनुसन्धान गरेर पक्राउ गरेका थियौ? मात्रै कार्की आयोगको प्रतिवेदन होइन र?"
26,तेरो खरानी चोर फटाहा
27,चोर हरामी
28,यो खाते चोर नै हो।
