clip_id,annotation_id,subject,action,background_object,note,submitted_at,user_id,task_id
clip_257,annotation_257,There are supporting artists behind both sides of the lead singer.,"While singing, the boys have started dancing.",Yellow lights are lit all around.,,2026-06-02 07:48:30.042841,5,e4c30d8683214bc585b2f3f47dc1da67
clip_258,annotation_258,There are cows and sheep around the hills.,"A boy wearing a brown traditional dress is driving the sheep, and a beautiful girl is enjoying watching that scene.","Blue sky, greenery all around, large trees, and beautiful weather.",,2026-05-29 19:05:26.427999,5,0dbdb3d130b0447290c7b9bbf738a724
clip_259,annotation_259,"In the center, the lead male artist and female artist are sitting together.","The lead couple is sitting in the middle, looking at each other while performing playfully.",Traditional utensils are seen on a large stone headboard-like platform.,,2026-05-29 17:31:57.437105,5,ddd51d69854542b1ad0ec887a883fb56
clip_260,annotation_260,"A beautiful woman dressed in a pink saree and in front of her, a man in white attire with a red turban tied on his head.","They are looking at each other, blushing and smiling with open hearts.","In a dim nighttime background, dancers wearing traditional Tharu attire and carrying burning oil lamps in their hands are dancing in circles around them.",,2026-06-04 18:28:07.762581,6,ec0e2ac710ae4dfba696dcbc366e0ddc
clip_261,annotation_261,"The girl is wearing a modern lehenga-style dress in a sky blue and white combination. Around her are beautiful white and colorful flower plants, and butterflies can also be seen swarming.","Sitting near the flowers in the meadow, the girl tries to catch a butterfly sitting on a white flower while lip-syncing to the song rhythm with hopeful expressions.","Green hilly landscape, open sky above, and a slightly dim view of a mountain village and hills on the side.",,2026-06-12 12:43:39.342388,5,888ac2889a0e4fe8bd36dc2dcfe0105b
clip_262,annotation_262,Boy and girl,They are dancing holding handkerchiefs in their hands.,Lights and background dancers are dancing.,,2026-06-03 17:51:24.253684,7,1e803609bb014c3d8e5707d702b8f22a
clip_263,annotation_263,Girl,The girl is talking.,Mountains / Hills,,2026-06-04 12:04:33.411462,7,2264735f487a4a4a99029569fc9cb569
clip_264,annotation_264,Boy and girl,Many people are dancing.,There is a yellow wall and they are dancing.,,2026-06-03 17:49:42.077454,7,ac04601d750c40e68ee8904b6a34db3c
clip_265,annotation_265,"A lead male character wearing a purple patterned kurta with a sash around his waist, and to his right, a lead female character wearing a choli, light yellow fariya (saree), and potey necklace around her neck.",The young man and the young woman swaying her waist are dancing playfully.,Lush green rural backdrop & supporting dancers wearing red choli and dark yellow fariya along with yellow potey around their necks.,,2026-06-12 09:52:57.569079,6,12f4196a0dc247ccbfbca5046fcf12c8
clip_266,annotation_266,Girls are standing on the grass.,The girls are dancing.,"There is a small stream near the green grass, and a forest in the background.",,2026-05-29 08:42:57.874164,5,8bf35e5bbd1442af834ef86d227f3a19
clip_267,annotation_267,A young man,Leaning against the wall with closed eyes,"Wall, outdoor environment",,2026-06-05 10:00:37.980933,4,cc11193ca09c45ec98dfc964256ef43e
clip_268,annotation_268,The lead couple is sitting together in the middle.,"The lead couple is sitting side-by-side, acting as if they are sharing a romantic chat while looking at each other.","There are brick structures around, with fun and colorful pillows placed there.",,2026-06-02 07:57:51.072556,5,903c3d5484dd4561a28f418de2161d13
