English,Arabic
A child in a pink dress is climbing up a set of stairs in an entry way .,طفل يرتدي ثوبًا ورديًا يتسلق مجموعة من الدرج بطريقة دخول.
A girl going into a wooden building .,فتاة تذهب إلى مبنى خشبي.
A little girl climbing into a wooden playhouse .,فتاة صغيرة تتسلق إلى مسرح خشبي.
A little girl climbing the stairs to her playhouse .,فتاة صغيرة تتسلق الدرج إلى مسرحها.
A little girl in a pink dress going into a wooden cabin .,فتاة صغيرة في فستان وردي تدخل في مقصورة خشبية.
A black dog and a spotted dog are fighting,كلب أسود وكلب رصدت يقاتلون
A black dog and a tri-colored dog playing with each other on the road .,كلب أسود وكلب ثلاثي بلون يلعب مع بعضهما البعض على الطريق.
A black dog and a white dog with brown spots are staring at each other in the street .,يحدق كلب أسود وكلب أبيض مع بقع بنية في الشارع.
Two dogs of different breeds looking at each other on the road .,كلاب من سلالات مختلفة تنظر إلى بعضها البعض على الطريق.
Two dogs on pavement moving toward each other .,اثنين من الكلاب على الرصيف يتحرك نحو بعضهما البعض.
A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .,توجد فتاة صغيرة مغطاة بالطلاء أمام قوس قزح مطلي بيديها في وعاء.
A little girl is sitting in front of a large painted rainbow .,فتاة صغيرة تجلس أمام قوس قزح كبير مطلي.
A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .,تلعب فتاة صغيرة في العشب مع أصابع الأصابع أمام قماش أبيض مع قوس قزح عليها.
There is a girl with pigtails sitting in front of a rainbow painting .,هناك فتاة مع أسلاك التوصيل المصنوعة جالسة أمام لوحة قوس قزح.
Young girl with pigtails painting outside in the grass .,فتاة صغيرة مع أسلاك التوصيل المصنوعة في الخارج في العشب.
A man lays on a bench while his dog sits by him .,رجل يضع على مقعد بينما يجلس كلبه.
A man lays on the bench to which a white dog is also tied .,رجل يضع على مقاعد البدلاء التي يرتبط بها كلب أبيض.
a man sleeping on a bench outside with a white and black dog sitting next to him .,رجل ينام على مقعد في الخارج مع كلب أبيض وسوداء يجلس بجانبه.
A shirtless man lies on a park bench with his dog .,رجل بلا قميص يقع على مقعد الحديقة مع كلبه.
man laying on bench holding leash of dog sitting on ground,رجل يستلقي على مقعد ممسك بمقود الكلب على الأرض
A man in an orange hat starring at something .,رجل في قبعة برتقالية البطولة في شيء ما.
A man wears an orange hat and glasses .,يرتدي رجل قبعة ونظارات برتقالية.
A man with gauges and glasses is wearing a Blitz hat .,رجل مع مقاييس ونظارات يرتدي قبعة Blitz.
A man with glasses is wearing a beer can crocheted hat .,رجل مع نظارات يرتدي قبعة البيرة يمكن الكروشيه.
The man with pierced ears is wearing glasses and an orange hat .,الرجل ذو الأذنين المثقوبة يرتدي نظارات وقبعة برتقالية.
A child playing on a rope net .,طفل يلعب على شبكة الحبل.
A little girl climbing on red roping .,فتاة صغيرة تتسلق على الشد الأحمر.
A little girl in pink climbs a rope bridge at the park .,فتاة صغيرة في اللون الوردي تتسلق جسر حبل في الحديقة.
A small child grips onto the red ropes at the playground .,طفل صغير يسيطر على الحبال الحمراء في الملعب.
The small child climbs on a red ropes on a playground .,يتسلق الطفل الصغير على حبال حمراء على ملعب.
A black and white dog is running in a grassy garden surrounded by a white fence .,يركض كلب أبيض وأسود في حديقة عشبية محاطة بسياج أبيض.
A black and white dog is running through the grass .,الكلب الأسود والأبيض يركض عبر العشب.
A Boston terrier is running in the grass .,جحر بوسطن يركض في العشب.
A Boston Terrier is running on lush green grass in front of a white fence .,يركض جحر بوسطن على العشب الأخضر المورق أمام سياج أبيض.
A dog runs on the green grass near a wooden fence .,يركض كلب على العشب الأخضر بالقرب من سياج خشبي.
"""A dog shakes its head near the shore , a red ball next to it .""","""كلب يهز رأسه بالقرب من الشاطئ ، كرة حمراء بجانبه."""
A white dog shakes on the edge of a beach with an orange ball .,يهز كلب أبيض على حافة الشاطئ مع كرة برتقالية.
"""Dog with orange ball at feet , stands on shore shaking off water""","""كلب مع كرة برتقالية عند القدمين ، يقف على الشاطئ وهو يرفع الماء"""
White dog playing with a red ball on the shore near the water .,الكلب الأبيض يلعب مع كرة حمراء على الشاطئ بالقرب من الماء.
White dog with brown ears standing near water with head turned to one side .,الكلب الأبيض مع أذنين بنية تقف بالقرب من الماء مع الرأس تحولت إلى جانب واحد.
A boy smiles in front of a stony wall in a city .,يبتسم صبي أمام جدار صخري في المدينة.
A little boy is standing on the street while a man in overalls is working on a stone wall .,يقف صبي صغير في الشارع بينما يعمل رجل يرتدي وزرة على جدار حجري.
A young boy runs aross the street .,صبي صغير يدير شارع.
A young child is walking on a stone paved street with a metal pole and a man behind him .,طفل صغير يمشي في شارع معبّد بالحجر مع عمود معدني ورجل خلفه.
Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .,يبتسم الصبي في قميص أبيض وبنطلون جينز أزرق أمام الجدار الصخري مع رجل في وزرة خلفه.
A black dog leaps over a log .,كلب أسود يقفز فوق سجل.
A grey dog is leaping over a fallen tree .,الكلب الرمادي يقفز فوق شجرة سقطت.
A large black dog leaps a fallen log .,كلب أسود كبير يقفز سجل سقط.
A mottled black and grey dog in a blue collar jumping over a fallen tree .,كلب أسود ورمادي مرقش في طوق أزرق يقفز فوق شجرة سقطت.
The black dog jumped the tree stump .,قفز الكلب الأسود جذع الشجرة.
A brown and white dog is running through the snow .,الكلب البني والأبيض يركض عبر الثلج.
A dog is running in the snow,كلب يركض في الثلج
A dog running through snow .,كلب يمر عبر الثلج.
a white and brown dog is running through a snow covered field .,يركض كلب أبيض وبني عبر حقل مغطى بالثلوج.
The white and brown dog is running over the surface of the snow .,الكلب الأبيض والبني يركض فوق سطح الثلج.
A man in a hat is displaying pictures next to a skier in a blue hat .,يقوم رجل في قبعة بعرض الصور بجوار متزلج في قبعة زرقاء.
