english,nepali
A banana grove seen by the roadside,बाटोको साइडमा केराको बगान देखिएको
"A bar scene, where alcohol bottles are displayed in the background.","एउटा बारको दृश्य, जहाँ पछाडितिर रक्सीहरू राखिएको छ।"
"A beautiful attractive girl with long flowing hair, wearing a special stone headpiece, blue stone earrings, and cultural dress.","लामो फिँजारिएको कपाल, टाउकोमा विशेष पत्थरले बनेको शिरबन्दी, कानमा नीलो पत्थरको झुम्का अनि सांस्कृतिक पोसाक लगाएकी एउटी सुन्दर आकर्षक केटी।"
A beautiful fairy-like girl wearing a red sweater and a bandana on her hair,रातो स्विटर अनि कपालमा रुमाल बाँधेकी एउटी सुन्दर परी जस्ती केटी
A beautiful girl wearing hill attire and a boy inside a dark room,एउटा पहाडी पोसाक लगाएकी सुन्दर केटी र एक जना केटा अँध्यारो कोठा भित्र
A beautiful woman carrying a sweet smile and wearing a pink saree and earrings,अनुहारमा मिठो मुस्कान सहित गुलाबी रङको साडी र झुम्का लगाएकी एक सुन्दरी महिला
"A beautiful woman dressed in a pink saree and in front of her, a man in white attire with a red turban tied on his head.",गुलाबी साडीमा सजिएकी एक सुन्दरी महिला र उनको सामुन्ने सेतो पोसाकका साथै टाउकोमा रातो फेटा बाँधेका एक पुरुष।
"A beautiful woman with a small mole under her chin, carrying a sweet smile, wearing a pink saree and earrings","चिउँडोको मुनि सानो कोठी भएको, अनुहारमा मिठो मुस्कान लिएर, गुलाबी रंगको साडी र झुम्का लगाएकी एक सुन्दरी महिला"
"A beautiful young woman with open hair, wearing a colorful traditional stone necklace and a white-pink chuba","कपाल फिँजारिएको, घाटीमा रङ्गीचङ्गी परम्परागत पत्थरको माला लगाएको अनि सेतो र गुलाबी रङको चुबा लगाएकी एउटी सुन्दर युवती"
A black car is parked on the road.,कालो गाडी बाटोमा रोकिएको छ
A black jungle safari vehicle came and stopped.,कालो रङको जङ्गल सफारी गाडी आएर रोकियो
A black wall,एउटा कालो भित्ता
"A blue butterfly flies and sits on the young man's hand, and then he blows softly to make it fly away.",नीलो रङको पुतली उडेर युवकको हातमा बस्छ अनि युवकले मुखबाट सानो सुस्केरा फालेर पुतली उडाउँछ।
A boy and a girl,एउटा केटा र केटी
A boy and a girl are near the riverbank.,एउटा केटा र एउटी केटी खोला किनार नजिक छन्
A boy and a girl dancing with their hands on their chests,एक जना केटा र केटी छातीमा हात राखेर नाच्दै
A boy and a girl on green grass,हरियो घाँसमाथि एउटा केटा र केटी
A boy and a girl warming their hands over a fire,आगोमा हात सेक्दै दुई जना केटा र केटी
A boy and girl are seen dancing with outstretched arms and then lying down on the grass.,एउटा केटा र केटी घाँसमाथि हात फैलाएर नाच्दै घाँसमाथि सुतेको देखिन्छ।
"A boy drinking black tea in front of a shop, watching attentively","पसलअगाडि कालो चिया खाइरहेको एउटा केटा, ध्यान दिएर हेर्दै"
A boy making a call from the telephone booth,एउटा केटाले टेलिफोन बुथबाट कल गर्दै
A boy talking to a girl with his hand on a pillar and head turned towards her,हात पिल्लरमा राखेर टाउको फर्काएर एउटा केटा एउटी केटीसँग बोल्दै
A boy wearing Newari clothes and a red flower in his ear walking along the path with folded arms,नेवारी लुगा अनि कानमा रातो फूल लगाएको केटाले हात बाँधेर बाटोमा हिँड्दै
A boy wearing a black cap,एउटा केटाले कालो टोपी लगाएको
"A boy wearing a blue chuba over a black shirt, with a black hat on his head.","नीलो रङको चुबा, भित्रबाट कालो रङको सर्ट अनि टाउकोमा एउटा कालो रङको ह्याट लगाएको एउटा केटो।"
"A boy wearing a brown traditional dress is driving the sheep, and a beautiful girl is enjoying watching that scene.",खैरो रङको पहिरन पोसाक लगाएको केटाले भेडाहरूलाई धपाउँदै छ अनि एउटा सुन्दर केटीले त्यो दृश्य देखेर रमाउँदै छिन्।
"A boy wearing a red waistcoat held the hand of a girl in a blue blouse, blue saree, and white sash, and danced with her.","रातो इस्टकोट लगाएको केटाले नीलो रङको ब्लाउज, नीलो साडी अनि सेतो पटुका लगाएकी केटीलाई हात समातेर नचायो"
"A boy wearing a white shirt and cap, holding a book, standing inside a telephone booth",एउटा केटा सेतो सर्ट र क्याप लगाएको हातमा किताब बोकेर टेलिफोन बुथभित्र उभिएको
A boy wearing a white t-shirt and a red bandana on his forehead is standing among the girls.,केटीहरूको बीचमा सेतो टी-शर्ट र निधारमा रातो रुमाल बाँधेको केटा उभिएको
A boy wearing blue jeans and a white full-sleeve shirt standing on the edge of a hill,तल नीलो जिन्स र सेतो फुल बाहुला भएको सर्ट लगाएको एउटा केटो पहाडको भीरमा उभिइरहेको
A boy wearing daura suruwal and a cap,एउटा केटा दौरा सुरुवाल र टोपी लगाएको
A boy wearing daura suruwal and having long curly hair,दौरा सुरुवाल लगाएको अनि लामो घुमाउरो कपाल भएको एउटा केटा
"A boy wearing thick brown clothes, a muffler wrapped around his neck, and having long hair","खैरो मोटो कपडा, घाटीमा गलबन्दी बेरेको र लामो कपाल भएको केटा"
A boy with a mustache wearing a blue denim jacket,"नीलो जिन्सको ज्याकेट लगाएको, अनि जुँगा राखेको एउटा केटा"
A boy with a red cloth/bandana tied on his head,टाउकोमा रातो रुमाल बाँधेको केटा
A boy with graying beard and mustache,एउटा दाह्री जुँगा फुलेको केटो
"A brick-patterned wall,","इँट्टाले छापेको भित्ता,"
A city street with many shops and hotels,शहरको बाटो जहाँ धेरै पसल अनि होटलहरू छन्
A couple consisting of a boy and a girl standing together,केटा र केटीको जोडी बनाएर उभिएको
A courtyard in front of a traditional house,परम्परागत घरको अगाडि एउटा आँगन
"A dim, old-looking space made of stone and cement where sun rays filter in from above",ढुङ्गा र सिमेन्टले बनेको पुरानो जस्तो अँध्यारो ठाउँ जहाँ माथिदेखि सूर्यको किरण आएको छ
"A dimly lit indoor space, showing decorative items","हल्का उज्यालो भएको भित्री ठाउँ, सजावटी वस्तुहरू देखिन्छ"
A dirt path in the middle of trees all around,चारैतिर रूखहरूको बीचमा एउटा कच्ची बाटो
A dirt road in a village with old houses,पुराना घरहरू भएको गाउँमा कच्ची बाटो
A dog sitting on the table,टेबलमाथि बसेको एउटा कुकुर
A doko basket is seen hanging from a pillar of a traditional village house.,गाउँको परम्परागत घरको खम्बामा डोको झुण्ड्याएको देखिन्छ।
"A fair, festival, or religious procession (jatra) is seen being celebrated in the upper part.","माथिल्लो भागमा कुनै मेला, उत्सव, अथवा जात्रा मनाइरहेको देखिन्छ।"
A fair-skinned girl getting off the vehicle,गाडीबाट गोरी केटी ओर्लिरहेकी
A fire is burning in the background at night.,रातिमा पछाडि आगो बलिरहेको
A forest excursion vehicle parked on the road,बनबासको गाडी बाटोमा रोकिएको
A girl and boy sitting on a motorcycle,बाइकमा केटी र केटा बसेका
"A girl is walking carrying wool in a basket. As she walks, she looks back and smiles.",एउटी केटीले टोकरीमा ऊन राखेर हिँड्दै। हिँड्दा हिँड्दै उनले पछाडि हेर्दै मुस्कुराएको देखिन्छ।
A girl sitting inside the TV talking about the Gen-Z movement,एउटी केटी त्यो टिभीभित्र बसेर जेन-जी आन्दोलनको बारेमा भन्दै
A girl standing near the pond,पोखरीको छेउमा केटी उभिएकी
"A girl wearing Sherpa attire (chuba, pangden, red-orange outer) in front of a stone house","Dhunga ley banako ghar ko aagai aagadi sherpa samudaye ko posak (छुबा, पाङदेन, रातो-सुन्तला आउटर) lagaki eauti keti"
"A girl wearing Sherpa attire (chuba, pangden, red-orange outer) in front of a stone house","ढुङ्गाले बनेको घरको अगाडि शेर्पा समुदायको पोसाक (चुबा, पाङ्देन, रातो-सुन्तला आउटर) लगाएकी एउटी केटी"
A girl wearing yellow clothes riding a green Bullet motorcycle,हरियो रङको बुलेट बाइक पहेंलो कपडा लगाएकी केटीले चलाइरहेकी
"A handsome boy wearing a bright blue chuba, black pants, glasses, and a Kipat (traditional belt) tied around his waist.","एउटा ह्यान्डसम केटा जसले चम्किलो नीलो रङको चुबा, कालो प्यान्ट, चस्मा, र कम्मरमा किपट (परम्परागत पेटी) बाँधेको छ।"
A handsome boy wearing black sunglasses and a beautiful girl in white clothes,कालो चस्मा लगाएको एउटा ह्यान्डसम केटा अनि एउटा सेतो कपडा लगाएकी सुन्दरी केटी
A handsome boy with folded arms is singing and looking at his lover. The people in the background are seen dancing with hands raised.,एउटा सुन्दर हात बाँधेको केटा गीत गाउँदै अनि आफ्नो प्रेमिकालाई हेर्दैछ। पछाडिका मानिसहरू हात उठाउँदै नाचिरहेको देखिन्छ।
A house and trees are seen in the background.,पछाडि एउटा घर अनि रूखहरू देखिएको
A house made of red clay and roofed with black tin sheets,रातो माटोको अनि कालो टिनले छाएको घर
A hungry man wearing torn clothes,च्यातिएको लुगा लगाएको भोको मान्छे
A large blue window and blue curtain are visible in the background.,पछाडिपट्टि ठूलो नीलो रङको झ्याल अनि नीलो पर्दा देखिएको छ।
A large courtyard of a traditional house and a wooden-framed structure are visible in the background.,पछाडिपट्टि परम्परागत घरको ठूलो आँगन र काठको ढाँचाको घर देखिन्छ।
A large crowd gathered to watch the dance,नृत्य हेर्नका लागि मानिसहरूको ठूलो भिड देखिएको
A large green hill visible behind the temple,मन्दिरको पछाडि एउटा ठूलो हरियो पहाड देखिएको
"A large group of young male artists in yellow daura surwal, speckled brown waistcoats, and black dhaka topis are in supporting roles, with rustic stone and mud houses and a green hill visible in the background.","पहेंलो रङको दौरा सुरुवाल र छिर्केमिर्के खैरो रङको इस्टकोट, कालो ढाका टोपी लगाएका युवा पुरुष कलाकारहरूको ठूलो समूह सहायक भूमिकामा छन् भने थप पृष्ठभूमिमा ग्रामीण ढुङ्गा र माटोले बनेका घरहरू र हरियो डाँडाको दृश्य देख्न सकिन्छ"
A large moss-covered stone,ठूलो लेउ लागेको ढुङ्गा
"A long corridor with a roof supported by wooden pillars, and a red brick enclosure behind",एउटा लामो र काठका थाम्बाहरूले बनेको छानोसहितको करिडोर र पछाडि रातो इँट्टाले बनेको घेरो
A long winding dry riverbed in the background,पछाडिपट्टि लामो घुमाउरो खालको सुकेको खोला
A man,एउटा पुरुष
"A man is nailing a wooden roof. While doing so, his attention shifts to a beautiful girl and he accidentally hits his own hand with the hammer.",एउटा मान्छे काठको घरमाथि किला ठोक्दैछ। किला ठोक्दा ठोक्दै उसको ध्यान एउटी सुन्दर केटीतर्फ गएर उसले हथौडाले आफ्नै हातमा हान्यो।
A man playing a guitar,गिटार बजाउँदै गरेको एक पुरुष
A man standing and repairing a vehicle,एउटा मान्छे उभिएर गाडी बनाइरहेको छ
A man wearing Newari attire and a red muffler,नेवारी पहिरन लगाएको एक पुरुष रातो गलबन्दी लगाएको
A man wearing a purple shirt and a woman,एउटा बैजनी रङको सर्ट लगाएको पुरुष र एउटी महिला
A man wearing a thick brown coat on top of a wooden house,काठको घरमाथि एउटा मोटो खैरो रङको कोट लगाएको एउटा मान्छे
A man wearing torn clothes,च्यातिएको लुगा लगाएको एक मान्छे
A modern girl barefoot on a brick platform in front of a stupa,स्तूपको अगाडि एउटा इट्टाले बनेको प्लेटफर्ममा खाली खुट्टामा एउटी आधुनिक केटी
A modern girl wearing short clothes,एउटी छोटो लुगा लगाएकी आधुनिक केटी
"A mud-and-stone house in a rural setting. Bare hills are in the background, and snow-covered mountains are visible further away.",ग्रामीण परिवेशमा ढुङ्गा माटोले बनेको घर। पछि नाङ्गो पहाड अनि अझै टाढा हिउँले ढाकेको हिमाल देखिन्छ।
A narrow unpaved dirt path,कच्ची साँघुरो ढङ्गले बनेको बाटो
"A photo studio where photography, photocopying, and lamination works are done","एउटा फोटो स्टुडियो जहाँ फोटो खिच्ने, फोटोकपी, ल्यामिनेसन जस्तो काम गरिन्छ"
A pond near green grass,हरियो घाँसको नजिक एउटा पोखरी
A presence of many people along with a boy and girl is seen.,धेरै मानिसहरू केटा र केटीको उपस्थिति देखिन्छ
A red telephone in a telephone booth without glass,सिसा नभएको टेलिफोन बुथमा रातो टेलिफोन
"A small concrete bridge, a stony riverbank, and green tree branches and leaves.","कंक्रिटको सानो पुल, ढुङ्गे बगर र हरिया रुखका हाँगा तथा पातहरू"
A small local tavern/bhatti,सानो ठाउँ भएको भट्टी
A small local tavern/hotel,एउटा सानो होटल
A square TV kept on a table and a girl inside it,एउटा टेबलमाथि राखिएको वर्गाकार टिभी र त्यसभित्र एउटी केटी
A steep walking path on the hillside,पहाडको भिरालो मानिस हिँड्ने बाटो
"A temple with unique woodwork, featuring a shiny finial (Gajur) atop its tin roof, from which a long ceremonial banner hangs down.","काठको विशेष कला भएको मन्दिर, जसको जस्तापाताको छहारीमाथि चम्किलो गजुर छ र गजुरदेखि तलसम्म लामो सांस्कृतिक कपडा झुण्डिएको देखिन्छ।"
A traditional hut-like place set in a rural environment,ग्रामीण परिवेशमा बनेको परम्परागत झुपडी जस्तो ठाउँ
A traditional wooden structure is visible.,काठको परम्परागत ढाँचा देखिन्छ
"A trident (trishul) is placed in front of an old wooden temple, with a courtyard-like space in the front.",पुरानो काठले बनेको मन्दिर अगाडि त्रिशूल राखेको अनि अगाडि आँगन जस्तो छ।
A vehicle driving on the road,बाटोमा गाडी गुडिरहेको
"A view shot from a high place. A tall hill is behind, and some human settlements (houses) can be seen on the hill.",कुनै अग्लो ठाउँबाट खिचिएको दृश्य। पछाडि अग्लो पहाड अनि पहाडमा केही मानिसको बस्ती (घरहरू) देखिन्छ।
A white Bolero utility vehicle,सेतो रङको बोलेरो
A white curtain and twinkling lights are visible in the background.,पछाडि सेतो पर्दा अनि झिलिमिली बत्ती देखिन्छ
A white dog on a glass table,सिसाको टेबलमाथि एउटा सेतो कुकुर
A white wall and a marigold garland hanging above a door,सेतो भित्ता र एउटा ढोकामाथि सयपत्री फूलको माला झुण्ड्याएको
A woman and a man wearing blue jeans and a white shirt,एउटी महिला र एउटा नीलो जिन्स र सेतो शर्ट लगाएको पुरुष
"A woman and a man. The woman is wearing a dress, and the man is wearing a purple shirt and jeans.",एउटी महिला र एउटा पुरुष। महिलाले ड्रेस लगाएकी छिन् र पुरुषले बैजनी सर्ट र जिन्स लगाएको छ।
A young man,एउटा भर्खरको युवा
A young man,एक युवक
