id,text
1,ta aaija ta pagal... malai bahira janu parxa
2,सहि गर्नु भयो समाज भाडुवा हरु देश द्रोही हुन्छन कडा भन्दा कडा कार्बाही होस।
3,"तोडफोड गर्दैन ,जातीय विभेद र छुवाछूत को पिडा पोखेको हो ।"
4,Ta mula jungle mei basey ni bas na ani
5,Ta muji le j vanyo tei mannu parne ta sarkar le?
6,"Ani ta muji lai taha chaina yo samsad bhawan yo sarkar le
 hoina paila kai sarkar le banako ho vanera?"
7,"जे गरेनी नहुने,जसो गरेनि नहुने,उ गरेर नि नहुने, हुने गर्दा नि नहुने, मर्दा पनि नहुने, 
बाच्दा पनि नहुने, रुदानी नहुने हास्दा नि नहुने बैगुनी पार्टी भनेको नेपालमा बा मा ले र कांग्रेस होला"
8,"Aba sthaniye nikayeka raithani karmachari ra prabidhik lai pani yestai 
kisimle bela belama saruwa garema bhrastachar rokinthyo ki balen sarkar"
9,bharastachari jaha gaye pani bharastachar garxa nai
10,Uchha samman ka sath machikney vanna chanxu
11,Now I hope Justice for My Nation
12,सहिद ले न्यय पाउनु पर्छ ।
13,"सिंहदरबार जलाइने केमिकलको बन्दोवस्त, प्रयोग कस्ले र कहाँबाट 'जानकार' ईञ्जिनियरले
 गराए ? यी सबै चासो राष्ट्रिय मानवाधिकारको प्रतिवेदनमा आवोस् !"
14,दोषी जोसुकै भएपनी ढिलोचाडो जेल जाने नै छन सत्ता सधै कसैको हातमा रहि रहने छैन।
15,"Real id बाट होकि फेक आईडि बाट हो भनेर चेक जाज गर्नु छैन ! अन्धा धुन्दामा शेयर गरेको छ , 
फटह गुईठे। हैन १ मिनेट नपुग्दै 19k लाईक बालेन shah को त आउदैन हावा।"
16,"वधाई तथा शुभकामना भुमि पुत्रहरु छातीभरि देशको माया वोकेर देशको उज्ज्वल भविश्यको 
कामना"
17,"तिमिले जनताको कुरा सुनेको त अहिले सम्म सुनेको छैन । न अहिले न पहिले तिमी 
आफुलाइजे थिक लाग्छ तेहि गर्ने मान्छे हौ । नचिनेको होर । बात कर्ते हो"
18,Eh guithe last ma harni nai ho kina dherai natak garnu paryo
19,माननीयज्यू आज सदन नै छैन भोलि 3: 30 pm मा हो .
20,"Afno kam gar muji, copy garera exam pass hune person pani pass
 hunxa fail hudaina"
21,पागल
22,पागल हर्के यो भबन के ऐलेको सरकारले बनाउन सुरु गरे होर
23,हजुरको सादा जीवन उच्च विचार तर अधिकांस नेताको उच्च जीवन सादा विचार सायद तैभएर होला
24,"धेरै माया छ Sudan Gurung जी र सधैं रहने पनि छ हजुर को निणर्य हाम्लाई accept छ 
देशको नियम भन्दा माथि कोहि पनि छैन यो सब कुराहरू लाई स्वीकार गर्न पनि एउटा सुन्दर मन
 चाहिन्छ so proud  iam waiting for you respect person"
25,"कपटपूर्ण अन्तर्वार्ताको उत्तर ! आज रास्वपाको नेता, सांसद नमुछिएको भए यतिबेला देशमा 
आगो बल्थ्यो! हिजो ओलि र लेखक चाही कुन निकायले अनुसन्धान गरेर पक्राउ गरेका थियौ? 
मात्रै कार्की आयोगको प्रतिवेदन होइन र?"
26,तेरो खरानी चोर फटाहा
27,चाेर हरामि
28,यो खाते चोर नै हो
29,"भदौ २३ गते जेन-जि बालबालिकालाई टाउको र छाती मा ताकि ताकी गोलि हानेर मार्न आदेश
 दिने तत्कालीन सरकारलाई अनुसन्धान र कारबाही नहुने हो ? कि ७६ जना जेन-जि बालबालिका 
मारेको मा खुशी छ ? कि भ्रष्टाचारि हत्यारा एमाले र कांग्रेसको हत्यारा भ्रष्टाचारि नेताहरुलाई 
छानीछानी ७६ जनालाई मार्दियो भने कारबाही नगरी छोड्दिने हो ? के तरबार बोकेर जनता बाहिर
 निस्कनु पर्ने हो ? मान्छे मारेको ठूलो घट्ना होकि घर जलेको ठूलो घट्ना हो ? २३ गतेको नरसंहारको
 ढाकछोप गर्न २४ गते एमाले, कांग्रेस, माओवादी को नेता तथा कार्यकर्ता हरु सिंहदरबार, सर्बोच्च
 अदालत जस्ता राज्यको सम्पती जलाउन निस्केको थियो । राज्यको सम्पति र नेता हरुको घर
 जल्नमा यो ३ पार्टी को नै हातछ । यो ३ पार्टी मा देखिएको असन्तुष्ट कार्यकर्ताले नै हो मौकामा
 चौका हानेर आफ्नो पार्टीको नेताहरुको घर जलाएको हो ।"
30,"प्रधानमन्त्री र अर्थमन्त्रीले देश कायापलट गर्ने बजेट ल्याउँदै, इतिहासकै सबैभन्दा बढी बजेट आउने"
31,Good हामी सचेत जनता हुँ भन्दा भन्दै हामी पनि बिस्तारै झोले बन्दै गइरहेको पत्तै पाइरहेको छैन
32,"यो भिडियो हेर्दा पहिलो पटक कुनै पहाड समुदायको व्यक्तिले आफ्नो मन देखि नै हामी मधेसी 
लाइ सम्मान गरेको हो जस्तो महसुस भयो tq for making this type of video"
33,"We, as Madhesis, need to take a loud stand for fellow Madhesis and 
other Nepali cultures, traditions and tribes. Not India. Period"
34,"Madhesi ta madhesi nai ho, kei garna sakidaina yiniharulai"
35,yo nepal bahun ko matra hora? ke hami manxe hainau?
36,tero bau
37,Proud to be Madhesi
38,"yo purano naya naya sab kura ho, kasaiko kei kam xaina"
39,muslim jati sab lai desh nikala garnu parxa
40,yo ghante gang lai kei bhanna hudaina mardinxan
41,"I studied catholic school in koteshwor and I am proud to be sanatani. 
No religion is beautiful than hinduism, buddhism and kirati religions."
42,अाफ्नो धर्म नमास है मनुवाहरू पछि तिम्रै सन्तानले थुक्नेछन
43,Mugii bhahun
44,"Religion should not matter—whether someone is Hindu or belongs to any
 other religion, strict punishment should be given for such incidents."
45,लाज का पोका हरु! !
46,म हिन्दु हु यसमा मलाई गर्ब लाग्छ।जय नेपाल
47,"जनताको सेवा गर्न गएका हैनौ, तलबभत्ता लिन बन्द गर उसोभए। आखिर सबै करडौका मालिक छौ त।"
48,"पुरानो दल लाई गाली गरेर उदाएको खराने ग्याङका संसद हरु झन् बादर लखट्ने झै मात्रै छन्।
तमासा पैला भन्दा ज्यादा देखिदै छ जे होस भत्ता सत्ता पचाउ देश लाई अझै खोक्रो बनाउ भोट हाल्ने 
हामी भेडा जनता छदै छौ।"
49,"अब जुन दिन काम हुन्छ त्यही दिन मात्र भत्ता पाउने कानुन बनाउनु पर्छ नाइ भने नेपाली
 जनताले तिरेको कर खेर जान्छ।"
50,"timi jela kahile jani abo navaya abo feri aago lagaii deau ani jaunu pradaeena 
meeting ma"
51,इद मुबारक कमरेड
52,"यी आतंकवादीहरूको उदय जति सजिलो भयो, अन्त्य त्यति नै भयावह हुनेछ।"
53,"पार्टीको ट्रेड युनियन नेपालमा कुनै औचित्य छैन।काम नगर्ने अवसर खोज्ने व्यवसायलाई दुःख 
दिने यस्तै झुण्डहरूले गर्दा देश विकास नभएको"
