id,text
1,तँ आइज त पागल... मलाई बाहिर जानु पर्छ
2,सहि गर्नु भयो समाज भाडुवा हरु देश द्रोही हुन्छन कडा भन्दा कडा कार्बाही होस।
3,"तोडफोड गर्दैन ,जातीय विभेद र छुवाछूत को पिडा पोखेको हो ।"
4,तँ मुला जङ्गल मै बसे नि बस न अनि
5,तँ मुजी ले जे भन्यो त्यही मान्नु पर्ने त सरकार ले?
6,"अनि तँ मुजी लाई थाहा छैन यो संसद भवन यो सरकार ले
 होइन पहिला कै सरकार ले बनाएको हो भनेर?"
7,"जे गरेनी नहुने,जसो गरेनि नहुने,उ गरेर नि नहुने, हुने गर्दा नि नहुने, मर्दा पनि नहुने, 
बाच्दा पनि नहुने, रुदानी नहुने हास्दा नि नहुने बैगुनी पार्टी भनेको नेपालमा बा मा ले र कांग्रेस होला"
8,"अब स्थानीय निकायका रैथाने कर्मचारी र प्राविधिक लाई पनि यस्तै 
12,सहिद ले न्यय पाउनु पर्छ ।
13,"सिंहदरबार जलाइने केमिकलको बन्दोवस्त, प्रयोग कस्ले र कहाँबाट 'जानकार' ईञ्जिनियरले
14,दोषी जोसुकै भएपनी ढिलोचाडो जेल जाने नै छन सत्ता सधै कसैको हातमा रहि रहने छैन।
15,"रियल आइडी बाट होकि फेक आइडी बाट हो भनेर चेक जाँच गर्नु छैन ! अन्धा धुन्दामा शेयर गरेको छ , 
फटाह गुईठे। हैन १ मिनेट नपुग्दै 19k लाईक बालेन शाह को त आउदैन हावा।"
16,"वधाई तथा शुभकामना भुमि पुत्रहरु छातीभरि देशको माया वोकेर देशको उज्ज्वल भविश्यको 
कामना"
17,"तिमिले जनताको कुरा सुनेको त अहिले सम्म सुनेको छैन । न अहिले न पहिले तिमी 
आफुलाइजे थिक लाग्छ तेहि गर्ने मान्छे हौ । नचिनेको होर । बात कर्ते हो"
18,ए गुईठे लास्ट मा हार्ने नै हो किन धेरै नाटक गर्नु पर्यो
19,माननीयज्यू आज सदन नै छैन भोलि 3: 30 पिएम मा हो .
20,"आफ्नो काम गर मुजी, कपि गरेर एक्जाम पास हुने पर्सन पनि पास
 हुन्छ फेल हुदैन"
21,पागल
22,पागल हर्के यो भबन के ऐलेको सरकारले बनाउन सुरु गरे होर
23,हजुरको सादा जीवन उच्च विचार तर अधिकांस नेताको उच्च जीवन सादा विचार सायद तैभएर होला
24,"धेरै माया छ सुदन गुरुङ जी र सधैं रहने पनि छ हजुर को निणर्य हाम्लाई एक्सेप्ट छ 
देशको नियम भन्दा माथि कोहि पनि छैन यो सब कुराहरू लाई स्वीकार गर्न पनि एउटा सुन्दर मन
 चाहिन्छ सो प्राउड आइएम वेटिङ फर यु रेस्पेक्ट पर्सन"
25,"कपटपूर्ण अन्तर्वार्ताको उत्तर ! आज रास्वपाको नेता, सांसद नमुछिएको भए यतिबेला देशमा 
आगो बल्थ्यो! हिजो ओलि र लेखक चाही कुन निकायले अनुसन्धान गरेर पक्राउ गरेका थियौ? 
मात्रै कार्की आयोगको प्रतिवेदन होइन र?"
26,तेरो खरानी चोर फटाहा
27,चाेर हरामि
28,यो खाते चोर नै हो
