clip_id,annotation_id,subject_nepali,action_nepali,background_object_nepali,note_nepali,submitted_at,user_id,task_id
clip_1,annotation_1,मुख्य गयक् को दुबैपत्ति पछदि सह-कलक हरु छन्,गौद गौदै केत हरु नछ्न थलेक छ्हन्,छरै तिर पहेलो बत्ति बोलेको,,2026-06-02 07:48:30.042841,5,e4c30d8683214bc585b2f3f47dc1da67
clip_2,annotation_2,पहध् ओरि परि गै भेद हरु छ्हन्,खैरो रन्ग् को पध्दि पोसक् लगको क्त लेय् भेद हरु लै धपौदै छ्ह अनि एऔत सुन्दर् केति लेय् त्यो द्रिस्ह्य देखेर रमौदै छ्हिन्,"नेलो अअक्स्ह् छरै तिर हरियलि, थुल थुल रुख्, र सुन्दर् मौसम्",,2026-05-29 19:05:26.427999,5,0dbdb3d130b0447290c7b9bbf738a724
clip_3,annotation_3,बिछ्म मुख्य कलकर् (केत) र कलकर् (केति) एक्कै सथ बसेक छन्,मुख्य जोदि बिछ्म बसेर एक्-अर्कलै हेर्दै रमिलो अभिनय् गर्दै छ्हन्,धुन्ग ले बनेको थुलो सिर्यनि जस्तो थौ म परम्पर्गत् भद देखिन्छ,,2026-05-29 17:31:57.437105,5,ddd51d69854542b1ad0ec887a883fb56
clip_4,annotation_4,गुलाबी साडीमा सजिएकी एक सुन्दरी महिला र उनको सामुन्ने सेतो पोसाकका साथै टाउकोमा रातो फेटा बाँधेका एक पुरुष।,एकअर्कालाई हेर्दै लजाएर खुला हृदयले मुस्कुराइरहेका छन्।,"रात्रिकालीन धमिलो पृष्ठभूमिमा, परम्परागत थारु पोसाक लगाएका र हातमा बलिरहेको दियो बोकेका नर्तकीहरू उनीहरूलाई केन्द्रविन्दुमा राखी वरिपरि घुम्दै नृत्य गरिरहेका छन्।",,2026-06-04 18:28:07.762581,6,ec0e2ac710ae4dfba696dcbc366e0ddc
clip_5,annotation_5,केति ले अकस्हि निलो र सएतो चोम्बिनतिओन् को मोदेर्न् लेहेन्ग-स्त्य्ले द्रेस्स् लगयेकि छिन्. उन्को wअरिपरि रम्र सेतो र रन्गेएन् फोओल् को बोत् हरु छ्हन् र पोओतलि पनि झुतियेको देखिन्छ्ह,"केति छौर् को फोओल् को छेउम बसेर, एउत सेतो फोओल् मथि बसेको पुतलि लै xओप्न खोज्दै अनि गेएत् को तअल् म लिप्-स्य्न्च् र अअस्हमयि एxप्रेस्सिओन् दिरहिएकि छिन्.","हर्यो पहअदि भु-भअग्, मथि खुल्ल अअकस्ह्, र सिदे म थोरै धमिलो रुप म पहअदि गौन् र दन्द हरु देखिन्छ्हन्.",,2026-06-12 12:43:39.342388,5,888ac2889a0e4fe8bd36dc2dcfe0105b
clip_6,annotation_6,क्त र क्त्,नछिरxअन् हअत् म रुमल् बोकेर,लिघ्त् अनि बच्क्ग्रोउन्द् दन्चेर् नछिरxअन्,,2026-06-03 17:51:24.253684,7,1e803609bb014c3d8e5707d702b8f22a
clip_7,annotation_7,क्त्,क्त् बोलिरxअ,पहद्,,2026-06-04 12:04:33.411462,7,2264735f487a4a4a99029569fc9cb569
clip_8,annotation_8,क्त र क्त्,धेरै मन्छे हरु नछिरको छअन्,येल्लोw wअल्ल् छ अनि नछिरxअन्,,2026-06-03 17:49:42.077454,7,ac04601d750c40e68ee8904b6a34db3c
clip_9,annotation_9,"बैगनि बुत्तेय्धर् कुर्थ र कम्मर् पतुक बधेक एक् मुख्य युwअ पत्र र उन्को दय तर्फ़ छोलि, हल्क पहेलो रन्ग्को फ़रिय र घति म पोतेय् लगयेकि एक् मुख्य युwअति पत्र",ति युwअ र कम्मर् मर्कौदै गरेकि युwअति छन्छल् रुप् म न्रित्य गरिरहेक,हरियलि देखिनेय् ग्रमिद् भेग् को प्रिस्तभुमि & सहयेक् रुप् म रतो  छोलि र गध पहेलो रन्ग् को फ़रिय सन्गै घति म पहेलो पोतेय् लगयेक नर्तकिहरु,,2026-06-12 09:52:57.569079,6,12f4196a0dc247ccbfbca5046fcf12c8
clip_10,annotation_10,केति हरु घस् मथि उबियेको छ्हन्,केति हरु नछि रछेको छ्हन्,हरि घस् को छेउम सनो खोल छ्ह वने पxअदि जुन्ग्ले छ्ह,,2026-05-29 08:42:57.874164,5,8bf35e5bbd1442af834ef86d227f3a19
clip_11,annotation_11,एक् जन युwअक्,अअख छिम्लेर भित्तम अदियेको,"भित्त, बहिरि बतबरन्",,2026-06-05 10:00:37.980933,4,cc11193ca09c45ec98dfc964256ef43e
clip_12,annotation_12,बिछ्म मुख्य जोदि एक्कै सथ बसेक छन्.,मुख्य जोदि एक्-अर्कको छेउम बसेर एक्-अर्कलै हेर्दै प्रेमिलो (रोमन्तिच्) गफ़्फ़् गैरहेको जस्तो अभिनय् गर्दैछन्,"छेउ-छेउ म इत्त ले बनेक थौ हरु छन्, जहन् रमिलो र रन्गिछन्गि तकिय हरु रहियेक छन्.",,2026-06-02 07:57:51.072556,5,903c3d5484dd4561a28f418de2161d13
