clip_id,annotation_id,subject_nepali,action_nepali,background_object_nepali,note_nepali,submitted_at,user_id,task_id
clip_1,annotation_1,मुख्य गायकको पछाडि सह-कलाकारहरू छन्,केटाहरू गौडा गर्दै नाच्न थालेका छन्,चारैतिर पहेंलो बत्ती बलेको,,2026-06-02 07:48:30.042841,5,e4c30d8683214bc585b2f3f47dc1da67
clip_2,annotation_2,पहाड ओरीपरी गाई र भेडाहरू छन्,खैरो रङको पहाडी पोसाक लगाएको केटाले भेडाहरूलाई धपाउँदै छ र एउटी सुन्दर केटीले त्यो दृश्य देखेर रमाउँदै छिन्,"नीलो आकाश, चारैतिर हरियाली, ठूलाठूला रूख र सुन्दर मौसम",,2026-05-29 19:05:26.427999,5,0dbdb3d130b0447290c7b9bbf738a724
clip_3,annotation_3,बीचमा मुख्य कलाकार (केटा) र कलाकार (केटी) एकैसाथ बसेका छन्,मुख्य जोडी बीचमा बसेर एक-अर्कालाई हेर्दै रमाइलो अभिनय गर्दै छन्,ढुङ्गाले बनेको ठुलो सिर्यानीजस्तो ठाउँमा परम्परागत भाँडाहरू देखिन्छ,,2026-05-29 17:31:57.437105,5,ddd51d69854542b1ad0ec887a883fb56
clip_4,annotation_4,गुलाबी साडीमा सजिएकी एक सुन्दरी महिला र उनको सामुन्ने सेतो पोसाकका साथै टाउकोमा रातो फेटा बाँधेका एक पुरुष,एकअर्कालाई हेर्दै लजाएर खुला हृदयले मुस्कुराइरहेका छन्,रात्रिकालीन धमिलो पृष्ठभूमिमा परम्परागत थारु पोसाक लगाएका र हातमा बलिरहेको दियो बोकेका नर्तकीहरू उनीहरूलाई केन्द्रविन्दुमा राखी वरिपरि घुम्दै नृत्य गरिरहेका छन्,,2026-06-04 18:28:07.762581,6,ec0e2ac710ae4dfba696dcbc366e0ddc
clip_5,annotation_5,केटीले आकाशी नीलो र सेतो कम्बिनेसनको मोडर्न लेहंगा-स्टाइल ड्रेस लगाएकी छिन्। उनको वरिपरि राम्रा सेता र रंगीन फूलका बोटहरू छन् र पुतली पनि झुटिएको देखिन्छ,केटी चौरको फूलको छेउमा बसेर एउटा सेतो फूलमाथि बसेको पुतलीलाई समात्न खोज्दै र गीतको तालमा लिप-सिंक र स्वप्निल अभिव्यक्ति दिइरहेकी छिन्,"हरियो पहाडी भू-भाग, माथि खुला आकाश, र छेउमा थोरै धमिलो रूपमा पहाडी गाउँ र डाँडाहरू देखिन्छन्",,2026-06-12 12:43:39.342388,5,888ac2889a0e4fe8bd36dc2dcfe0105b
clip_6,annotation_6,केटा र केटी,हातमा रुमाल बोकेर नाचिरहेका छन्,बत्ती र पृष्ठभूमिका नर्तकहरू नाचिरहेका छन्,,2026-06-03 17:51:24.253684,7,1e803609bb014c3d8e5707d702b8f22a
clip_7,annotation_7,केटी,केटी बोलिरहेकी छ,पहाड,,2026-06-04 12:04:33.411462,7,2264735f487a4a4a99029569fc9cb569
clip_8,annotation_8,केटा र केटी,धेरै मान्छेहरू नाचिरहेका छन्,पहेंलो भित्ता छ र नाचिरहेका छन्,,2026-06-03 17:49:42.077454,7,ac04601d750c40e68ee8904b6a34db3c
clip_9,annotation_9,"बैगनी बुट्टेदार कुर्ता र कम्मर पटुका बाँधेका एक मुख्य युवा पात्र र उनको दायाँतर्फ चोली, हल्का पहेंलो रङको फरिया र घाँटीमा पोते लगाएकी एक मुख्य युवती पात्र",ती युवकले कम्मर मार्काउँदै र युवती चञ्चल रूपमा नृत्य गरिरहेका छन्,हरियाली देखिने ग्रामीण भेगको पृष्ठभूमि र सहयोगी रूपमा रातो चोली र गाढा पहेंलो रङको फरिया सँगै घाँटीमा पहेंलो पोते लगाएका नर्तकीहरू,,2026-06-12 09:52:57.569079,6,12f4196a0dc247ccbfbca5046fcf12c8
clip_10,annotation_10,केटीहरू घाँसमाथि उभिएका छन्,केटीहरू नाचिरहेका छन्,हरियो घाँसको छेउमा सानो खोला छ भने पछाडि जङ्गल छ,,2026-05-29 08:42:57.874164,5,8bf35e5bbd1442af834ef86d227f3a19
