clip_id,annotation_id,subject,action,background_object,note,submitted_at,user_id,task_id
clip_257,annotation_257,मुख्य गायकको दुवैपट्टि पछाडि सह-कलाकारहरू छन्।,गाउँदागाउँदै केटाहरू नाच्न थालेका छन्।,चारैतिर पहेंलो बत्ती बलेको।,,2026-06-02 07:48:30.042841,5,e4c30d8683214bc585b2f3f47dc1da67
clip_258,annotation_258,पहाड वरिपरि गाईवस्तु र भेडाहरू छन्।,खैरो रङको पहिरन पोसाक लगाएको केटाले भेडाहरूलाई धपाउँदै छ अनि एउटा सुन्दर केटीले त्यो दृश्य देखेर रमाउँदै छिन्।,"नीलो आकाश, चारैतिर हरियाली, ठूला-ठूला रूख, र सुन्दर मौसम।",,2026-05-29 19:05:26.427999,5,0dbdb3d130b0447290c7b9bbf738a724
clip_259,annotation_259,बीचमा मुख्य कलाकार (केटा) र कलाकार (केटी) एकैसाथ बसेका छन्।,मुख्य जोडी बीचमा बसेर एक-अर्कालाई हेर्दै रमाइलो अभिनय गर्दै छन्।,ढुङ्गाले बनेको ठूलो सिरानी जस्तो ठाउँमा परम्परागत भाँडा देखिन्छ।,,2026-05-29 17:31:57.437105,5,ddd51d69854542b1ad0ec887a883fb56
clip_260,annotation_260,गुलाबी साडीमा सजिएकी एक सुन्दरी महिला र उनको सामुन्ने सेतो पोसाकका साथै टाउकोमा रातो फेटा बाँधेका एक पुरुष।,एकअर्कालाई हेर्दै लजाएर खुला हृदयले मुस्कुराइरहेका छन्।,"रात्रिकालीन धमिलो पृष्ठभूमिमा, परम्परागत थारु पोसाक लगाएका र हातमा बलिरहेको दियो बोकेका नर्तकीहरू उनीहरूलाई केन्द्रविन्दुमा राखी वरिपरि घुम्दै नृत्य गरिरहेका छन्।",,2026-06-04 18:28:07.762581,6,ec0e2ac710ae4dfba696dcbc366e0ddc
clip_261,annotation_261,केटीले आकाशी नीलो र सेतो संयोजनको आधुनिक लेहङ्गा-शैलीको पोसाक लगाएकी छिन्। उनका वरिपरि राम्रा सेता र रंगीन फूलका बोटहरू छन् र पुतली पनि झुम्मिएको देखिन्छ।,"केटी चौरको फूलको छेउमा बसेर, एउटा सेतो फूलमाथि बसेको पुतलीलाई छोप्न खोज्दै अनि गीतको तालमा लिप-सिङ्क र आशामायी अभिव्यक्ति दिइरहेकी छिन्।","हरियो पहाडी भू-भाग, माथि खुला आकाश, र साइडमा थोरै धमिलो रूपमा पहाडी गाउँ र डाँडाहरू देखिन्छन्।",,2026-06-12 12:43:39.342388,5,888ac2889a0e4fe8bd36dc2dcfe0105b
clip_262,annotation_262,केटा र केटी,हातमा रुमाल बोकेर नाचिरहेका छन्।,लाइट अनि ब्याकग्राउन्ड डान्सर नाचिरहेका छन्।,,2026-06-03 17:51:24.253684,7,1e803609bb014c3d8e5707d702b8f22a
clip_263,annotation_263,केटी,केटी बोलिरहेकी छिन्।,पहाड,,2026-06-04 12:04:33.411462,7,2264735f487a4a4a99029569fc9cb569
clip_264,annotation_264,केटा र केटी,धेरै मानिसहरू नाचिरहेका छन्।,पहेंलो भित्ता छ अनि नाचिरहेका छन्।,,2026-06-03 17:49:42.077454,7,ac04601d750c40e68ee8904b6a34db3c
clip_265,annotation_265,"बैजनी बुट्टेदार कुर्ता र कम्मरमा पटुका बाँधेका एक मुख्य युवा पात्र र उनका दायाँतर्फ चोली, हल्का पहेंलो रङको फरिया र घाटीमा पोते लगाएकी एक मुख्य युवती पात्र।",ती युवा र कम्मर मर्काउँदै गरेकी युवती चञ्चल रूपमा नृत्य गरिरहेका।,हरियाली देखिने ग्रामीण भेगको पृष्ठभूमि र सहायक रूपमा रातो चोली र गाढा पहेंलो रङको फरियासँगै घाटीमा पहेंलो पोते लगाएका नर्तकीहरू।,,2026-06-12 09:52:57.569079,6,12f4196a0dc247ccbfbca5046fcf12c8
clip_266,annotation_266,केटीहरू घाँसमाथि उभिएका छन्।,केटीहरू नाचिरहेका छन्।,हरियो घाँसको छेउमा सानो खोला छ भने पछाडि जङ्गल छ।,,2026-05-29 08:42:57.874164,5,8bf35e5bbd1442af834ef86d227f3a19
clip_267,annotation_267,एक जना युवक,आँखा चिम्लेर भित्तामा अडिएको,"भित्ता, बाहिरी वातावरण",,2026-06-05 10:00:37.980933,4,cc11193ca09c45ec98dfc964256ef43e
clip_268,annotation_268,बीचमा मुख्य जोडी एकै साथ बसेका छन्।,मुख्य जोडी एक-अर्काको छेउमा बसेर एक-अर्कालाई हेर्दै प्रेमिलो गफ गरिरहेको जस्तो अभिनय गर्दैछन्।,"छेउ-छेउमा इट्टाले बनेका ठाउँहरू छन्, जहाँ रमाइलो र रङ्गीचङ्गी तकियाहरू राखिएका छन्।",,2026-06-02 07:57:51.072556,5,903c3d5484dd4561a28f418de2161d13
