clip_id,annotation_id,subject_english,action_english,background_object_english,note_english,submitted_at,user_id,task_id
clip_1,annotation_1,Main singer with backup dancers on both sides,Boys have started dancing to the beat,Yellow lights lit all around,,2026-06-02 07:48:30.042841,5,e4c30d8683214bc585b2f3f47dc1da67
clip_2,annotation_2,Flock of sheep on the other side of the mountain,A boy in brown herding sheep while a beautiful girl enjoys watching the scene,"Blue sky with greenery, big trees, and beautiful weather all around",,2026-05-29 19:05:26.427999,5,0dbdb3d130b0447290c7b9bbf738a724
clip_3,annotation_3,Main male and female artists sitting together in the center,"The main pair sitting together looking at each other, performing romantic expressions",Stone-built terrace-like structure with traditional utensils visible,,2026-05-29 17:31:57.437105,5,ddd51d69854542b1ad0ec887a883fb56
clip_4,annotation_4,A beautiful woman dressed in pink sari and a man in white outfit with red headband,"Looking at each other and smiling with open hearts, feeling shy","In a dimly lit nighttime background, Tharu dancers in traditional attire holding burning lamps circling around them",,2026-06-04 18:28:07.762581,6,ec0e2ac710ae4dfba696dcbc366e0ddc
clip_5,annotation_5,"Girl in sky blue and white combination modern lehenga-style dress, surrounded by beautiful white and colorful flower bushes with butterflies fluttering",Girl sitting on a bed of flowers trying to catch a white butterfly sitting on a flower while lip-syncing and giving expressions to the song,"Green hilly landscape, open sky above, and faintly visible hilly village and mountains on the sides",,2026-06-12 12:43:39.342388,5,888ac2889a0e4fe8bd36dc2dcfe0105b
clip_6,annotation_6,Boy and girl,Dancing with a handkerchief in hand,Lights and background dancers dancing,,2026-06-03 17:51:24.253684,7,1e803609bb014c3d8e5707d702b8f22a
clip_7,annotation_7,Boy,Boy is speaking,Mountain,,2026-06-04 12:04:33.411462,7,2264735f487a4a4a99029569fc9cb569
clip_8,annotation_8,Boy and girl,Many people are dancing,Yellow wall and dancing,,2026-06-03 17:49:42.077454,7,ac04601d750c40e68ee8904b6a34db3c
clip_9,annotation_9,A young man in maroon kurtha and waistband and a young woman on his right in light yellow skirt and glass bangles,The young man tapping his waist while the young woman dances gracefully,Green rural village background with supporting dancers in red blouse and yellow skirt wearing glass bangles,,2026-06-12 09:52:57.569079,6,12f4196a0dc247ccbfbca5046fcf12c8
clip_10,annotation_10,Girls standing on the grass,Girls are dancing,Green grass field with a small stream and jungle in the background,,2026-05-29 08:42:57.874164,5,8bf35e5bbd1442af834ef86d227f3a19
clip_11,annotation_11,A young man,Squinting eyes and leaning against the wall,"Wall, outdoor environment",,2026-06-05 10:00:37.980933,4,cc11193ca09c45ec98dfc964256ef43e
