clip_id,start_time,end_time,duration,scene_index,annotation_count,is_active,clip_created_at,source_video_id,youtube_url,youtube_video_id,title,status,source_created_at,processed_at
clip_1,45.76,53.56,7.8,15,1,1,2026-05-29 08:44:04.087424,de79efe7d9734056b1305ea7cf253771,https://youtu.be/HAcLoqZO-Z0?si=gJN6bPj55VOf03x6,HAcLoqZO-Z0,Sushant KC - Bardali ft. Indrakala Rai (Official Music Video),done,2026-05-29 08:40:50.888193,2026-05-29 08:44:04.097547
clip_2,41.458,51.458,10.0,3,1,1,2026-05-29 08:43:25.361223,6d92a53026f34a778c5b9c734a72d2d6,https://youtu.be/JqZ7Owwt2Cw?si=3I1hY2iO4oZdrEHi,JqZ7Owwt2Cw,Kafle [काफ्ले] Movie Song [ऊनको स्वीटर] Jhuma Limbu | Sujan Chapagain | In Cinemas Baisakh 26/May 09,done,2026-05-29 08:41:14.025993,2026-05-29 08:43:25.373321
clip_3,122.917,126.208,3.292,36,1,1,2026-05-29 06:58:03.064109,3975d5e40caa4ec781024cc2f8974f48,https://youtu.be/jWOsgaebblE?si=1Ik9cjilLT1RUba8,jWOsgaebblE,"Nyauli Banaima || BARISTHA BALARAM || Movie Official Song 2025 || Bijay Baral, Samriddhi Aryal",done,2026-05-29 06:55:39.728272,2026-05-29 06:58:03.070002
clip_4,239.375,249.375,10.0,117,1,1,2026-05-29 06:57:23.795773,c1de4cfe6dc444bf9cddf68587d07eff,https://youtu.be/a7SrELch4_I?si=2BVtTBRBTeaWMQf2,a7SrELch4_I,Ekdev Limbu - Chameli [Official Music Video],done,2026-05-29 06:55:12.860827,2026-05-29 06:57:23.813093
clip_5,68.042,74.167,6.125,9,1,1,2026-05-29 10:16:17.687713,566424dd77e840919b0bd4df8e1b70fc,https://youtu.be/eGPJjtvXAiM?si=o3xaQIQ95Nh2avXt,eGPJjtvXAiM,"Kehi Kadam - Full Video Song | Nepali Movie BATO MUNIKO PHOOL 2 Song | Yash Kumar, Jaljala Pariyar",done,2026-05-29 10:14:28.430664,2026-05-29 10:16:17.693539
clip_6,159.875,168.833,8.958,43,1,1,2026-05-29 06:57:49.097964,cb6b6e644578411aa9d553d2f3a8f28d,https://youtu.be/EApB0e646Nk?si=mPyPNZHTRZxuc6ox,EApB0e646Nk,"DOKO BUNNE (Official Song) | KUMARI Movie | Keher Limbu | Abishek Khadka, Aakriti Rajbhandari",done,2026-05-29 06:55:58.881431,2026-05-29 06:57:49.107040
clip_7,126.083,133.583,7.5,13,1,1,2026-05-29 08:43:25.361223,6d92a53026f34a778c5b9c734a72d2d6,https://youtu.be/JqZ7Owwt2Cw?si=3I1hY2iO4oZdrEHi,JqZ7Owwt2Cw,Kafle [काफ्ले] Movie Song [ऊनको स्वीटर] Jhuma Limbu | Sujan Chapagain | In Cinemas Baisakh 26/May 09,done,2026-05-29 08:41:14.025993,2026-05-29 08:43:25.373321
clip_8,135.75,140.333,4.583,36,1,1,2026-05-29 06:57:49.097964,cb6b6e644578411aa9d553d2f3a8f28d,https://youtu.be/EApB0e646Nk?si=mPyPNZHTRZxuc6ox,EApB0e646Nk,"DOKO BUNNE (Official Song) | KUMARI Movie | Keher Limbu | Abishek Khadka, Aakriti Rajbhandari",done,2026-05-29 06:55:58.881431,2026-05-29 06:57:49.107040
clip_9,121.458,126.417,4.958,40,1,1,2026-05-29 10:12:54.758361,fab4b0ef729943609f60470721f6e5bd,https://youtu.be/EhLOksRnCU0?si=TZgxmsKDLw7CMZVZ,EhLOksRnCU0,"Phool Pati Bhakera || Superhit Song || Nepali Movie BHAROSA Song || Shree Krishna, Dilip, Arunima",done,2026-05-29 10:10:43.244964,2026-05-29 10:12:54.763171
clip_10,70.917,75.792,4.875,26,1,1,2026-05-29 06:57:23.795773,c1de4cfe6dc444bf9cddf68587d07eff,https://youtu.be/a7SrELch4_I?si=2BVtTBRBTeaWMQf2,a7SrELch4_I,Ekdev Limbu - Chameli [Official Music Video],done,2026-05-29 06:55:12.860827,2026-05-29 06:57:23.813093
